Location	Bait	Start	End	Transition	Weather	Predator, Amount	Tug	Hookset	Gathering	Snagging?	Fish Eyes?	ID	Note
Aetherlouse	Glowworm	3	13		Gloom		Heavy	Powerful				287	
The Deep Tangle												50104	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Dark Bass	Crow Fly						Medium	Powerful				56	
Mitten Crab	Honey Worm						Light	Precision				84	
Giant Bass	Honey Worm						Medium	Powerful				95	
Ignus Snail	Stem Borer						Light	Precision				109	
Knifefish	Stem Borer						Medium	Powerful				115	
Boxing Pleco	Glowworm						Medium	Powerful				141	
Monke Onke	Ala Mhigan Fighting Fish						Light	Precision				86	
Ignus Horn	Glowworm			Gloom	Clear Skies, Fair Skies		Heavy	Precision				294	
Singing Shards												50105	
Mudcrab	Glowworm						Light	Precision				44	
Lamp Marimo	Glowworm						Light	Precision				74	
Bonytongue	Mythril Spoon Lure						Medium	Powerful				82	
Silverfish	Honey Worm						Light	Precision				90	
Giant Bass	Mythril Spoon Lure						Medium	Powerful				95	
Knifefish	Stem Borer						Medium	Powerful				115	
Garpike	Silverfish						Medium	Powerful				136	
Ilsabardian Bass	Glowworm						Medium	Powerful				139	
Blood Red Bonytongue	Silverfish	4	12	Clear Skies, Fair Skies	Fog		Heavy	Powerful				312	
Rathefrost												50102	
Lamp Marimo	Glowworm						Light	Precision				74	
Silverfish	Honey Worm						Light	Precision				90	
Giant Bass	Honey Worm						Medium	Powerful				95	
Ignus Snail	Glowworm						Light	Precision				109	
Knifefish	Glowworm						Medium	Powerful				115	
Assassin Betta	Silverfish						Medium	Powerful				130	
Ilsabardian Bass	Glowworm						Medium	Powerful				139	
Goldfish	Silverfish						Light	Precision				146	
Poxpike	Goldfish						Medium	Powerful				175	
Void Bass	Glowworm			Clear Skies, Fair Skies	Gloom		Heavy	Powerful				295	
The Tangle												50103	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Ala Mhigan Fighting Fish	Crow Fly						Light	Precision				31	
Silverfish	Honey Worm						Light	Precision				90	
Sludgeskipper	Stem Borer						Light	Precision				131	
Assassin Betta	Ala Mhigan Fighting Fish						Medium	Powerful				130	
Boltfish	Silverfish						Medium	Powerful				135	
Ilsabardian Bass	Topwater Frog						Medium	Powerful				139	
Cadaver Carp	Rainbow Spoon Lure				Gloom		Medium	Powerful				167	
Ninja Betta	Assassin Betta	18	9		Gloom		Heavy	Powerful				297	
The North Shards												50106	
Lamp Marimo	Glowworm						Light	Precision				74	
Silverfish	Honey Worm						Light	Precision				90	
Giant Bass	Honey Worm						Medium	Powerful				95	
Ignus Snail	Stem Borer						Light	Precision				109	
Assassin Betta	Silverfish						Medium	Powerful				130	
Ilsabardian Bass	Glowworm						Medium	Powerful				139	
Goldfish	Silverfish						Light	Precision				146	
Morinabaligi	Goldfish						Heavy	Powerful				183	
Canavan	Goldfish	8	18		Gloom		Heavy	Powerful				298	
Kuno the Killer	Assassin Betta					Canavan, 1	Heavy	Powerful				299	
Voor Sian Siran												60101	
Hedgemole Cricket	Metal Spinner						Light	Precision				357	
Cloudfish	Stonefly Nymph						Light	Precision				331	
Bullfrog	Bladed Steel Jig						Light	Precision				330	
Maiboi	Stonefly Nymph						Light	Precision				328	
Bubble Eye	Brute Leech	10	18				Medium	Powerful				339	
Caiman	Bullfrog	18	21				Heavy	Powerful				402	
Cloud Kelp	Metal Spinner						Light	Precision					
Inkfish	Brute Leech	14	16				Heavy	Powerful				471	
The Eddies												60102	
Hedgemole Cricket	Stonefly Nymph						Light	Precision				357	
Cloudfish	Stonefly Nymph						Light	Precision				331	
Bullfrog	Bladed Steel Jig						Light	Precision				330	
Yalm Lobster	Brute Leech						Medium	Powerful				418	
Vanuhead	Bladed Steel Jig				Clear Skies, Fair Skies		Medium	Powerful				349	
Catkiller	Brute Leech				Clear Skies, Fair Skies		Heavy	Powerful				429	
Red Sky Coral	Metal Spinner						Light	Precision		1		508	
Paikiller	Bullfrog	8	12	Fog	Clear Skies		Heavy	Powerful				491	
Cloudtop												60103	
Starflower	Red Balloon				Clear Skies, Fair Skies		Light	Precision				323	
Buoyant Oviform	Red Balloon						Light	Precision				334	
Mahu Wai	Red Balloon						Light	Precision				332	
Mitre Slug	Red Balloon						Light	Precision				344	
Blue Cloud Coral	Red Balloon						Light	Precision		1		336	
Fleece Stingray	Giant Crane Fly				Clear Skies, Fair Skies		Medium	Powerful				453	
Cirrostratus	Giant Crane Fly	10	13		Clear Skies, Fair Skies		Heavy	Powerful				483	
The Blue Window												60104	
Buoyant Oviform	Red Balloon						Light	Precision				334	
Sky Faerie	Red Balloon						Light	Precision				353	
Whiteloom	Red Balloon						Light	Precision				335	
Storm Core	Red Balloon				Clouds, Fog, Wind		Light	Precision				346	
Winged Gurnard	Giant Crane Fly						Medium	Powerful				422	
Sky Sweeper	Sky Faerie						Medium	Powerful				385	
Tornado Shark	Giant Crane Fly						Medium	Powerful				398	
The Second One	Giant Crane Fly				Wind		Heavy	Powerful				472	
Cloudweed	Metal Spinner						Light	Precision				3313	
Mok Oogl Island												60105	
Starflower	Red Balloon				Clear Skies, Fair Skies		Light	Precision				323	
Sky Faerie	Metal Spinner						Light	Precision				353	
Scorpionfly	Metal Spinner						Light	Precision				410	
Moogle Spirit	Giant Crane Fly						Medium	Powerful				414	
Vampiric Tapestry	Giant Crane Fly						Medium	Powerful				434	
Heavens Coral	Giant Crane Fly	0	6		Clear Skies, Fair Skies		Light	Precision		1		441	
Basking Shark	Sky Faerie			Fog	Clear Skies		Heavy	Powerful				476	
Sea Butterfly	Giant Crane Fly	5	7		Clear Skies	Scorpionfly, 3, Sky Faerie, 3	Heavy	Precision				503	
Alpha Quadrant												60201	
Platinum Fish	Fiend Worm						Light	Precision				376	
Bullwhip	Fiend Worm						Medium	Powerful				373	
Blood Skipper	Fiend Worm				Thunder		Medium	Powerful				412	
High Allagan Helmet	Platinum Fish						Medium	Powerful				375	
Allagan Hunter	Signature Skyball						Medium	Powerful					
Augmented High Allagan Helmet	Platinum Fish						Heavy	Powerful				473	
Aetherochemical Spill												60202	
Platinum Fish	Fiend Worm						Light	Precision				376	
Bullwhip	Fiend Worm						Medium	Powerful				373	
Blood Skipper	Fiend Worm				Thunder		Medium	Powerful				412	
Aetherochemical Compound #123	Platinum Fish						Light	Precision				388	
Proto-hropken	Platinum Fish						Medium	Powerful				401	
Aetherochemical Compound #666	Platinum Fish						Heavy	Precision				485	
Hyperstellar Downconverter												60203	
Platinum Fish	Fiend Worm						Light	Precision				376	
Azysfish	Fiend Worm						Light	Precision				378	
Oil Eel	Platinum Fish				Thunder		Medium	Powerful				415	
Mucous Minnow	Platinum Fish						Medium	Powerful				407	
Oliphant's Trunk	Fiend Worm	18	23		Thunder		Light	Precision				458	
Ceti	Fiend Worm	18	22	Clouds	Thunder		Heavy	Precision				492	
Delta Quadrant												60204	
Fountfish	Goblin Jig						Medium	Powerful				391	
Rockclimber	Bladed Steel Jig						Light	Precision				411	
Aether Eye	Purse Web Spider						Light	Precision				377	
Yalm Lobster	Aether Eye						Medium	Powerful				418	
Euphotic Pirarucu	Brute Leech	18	2		Clouds		Heavy	Powerful				403	
Pickled Pom	Signature Skyball						Light	Precision				3437	
Aphotic Pirarucu	Aether Eye	22	2		Clouds		Heavy	Powerful				474	
The Pappus Tree												60205	
Fountfish	Goblin Jig						Medium	Powerful				391	
Crystalfin	Bladed Steel Jig						Light	Precision				379	
Aether Eye	Purse Web Spider						Light	Precision				377	
Lungfish	Brute Leech				Clouds		Medium	Powerful				351	
Tiny Axolotl	Brute Leech	21	24				Light	Precision				374	
Flintstrike	Signature Skyball						Medium	Powerful					
Hundred-eyed Axolotl	Aether Eye	6	10				Heavy	Precision				486	
The Habisphere												60206	
Sky Faerie	Red Balloon						Light	Precision				353	
Rudderfish	Giant Crane Fly						Medium	Powerful				405	
Unidentified Flying Biomass	Red Balloon						Light	Precision				408	
Bomb Puffer	Red Balloon						Medium	Powerful				406	
Sky Sweeper	Giant Crane Fly						Medium	Powerful				385	
Tupuxuara	Red Balloon	15	18				Heavy	Powerful				433	
Stupendemys	Giant Crane Fly						Heavy	Powerful				425	
Cobrafish	Rudderfish						Medium	Powerful				413	
Crystal Pigeon	Rudderfish			Fair Skies	Thunder		Heavy	Powerful				493	
The Flagship												60207	
Platinum Fish	Fiend Worm						Light	Precision				376	
Azysfish	Fiend Worm						Light	Precision				378	
Oil Eel	Platinum Fish				Thunder		Medium	Powerful				415	
Jeweled Jellyfish	Platinum Fish	20	3				Light	Precision				416	
Barreleye	Platinum Fish				Thunder		Medium	Powerful				427	
Functional Proto-hropken	Fiend Worm				Thunder		Medium	Powerful				438	
Allagan Bladeshark	Platinum Fish			Clouds	Thunder		Heavy	Powerful				477	
Opabinia	Platinum Fish				Thunder	Functional Proto-hropken, 3	Heavy	Precision				501	
The Hundred Throes												70101	
Whilom Catfish	Bladed Steel Jig				Clouds, Dust Storms, Fog		Medium	Powerful				321	
Pipira Pira	Goblin Jig				Clouds, Dust Storms, Fog		Medium	Powerful				341	
Blueclaw Shrimp	Purse Web Spider						Light	Precision				322	
Grass Carp	Bladed Steel Jig				Clouds, Dust Storms, Fog		Medium	Powerful				340	
Shadowhisker	Versatile Lure						Medium	Powerful				369	
Dravanian Smelt	Brute Leech						Light	Precision				440	
River Shrimp	Metal Spinner						Light	Precision				510	
Scaleripper	Brute Leech				Clouds, Dust Storms, Fog		Heavy	Powerful				465	
Whilom River												70102	
Whilom Catfish	Goblin Jig				Clouds, Dust Storms, Fog		Medium	Powerful				321	
Rock Mussel	Goblin Jig						Light	Precision		1		333	
Pipira Pira	Goblin Jig				Clouds, Dust Storms, Fog		Medium	Powerful				341	
Three-lip Carp	Bladed Steel Jig						Medium	Powerful				329	
Blueclaw Shrimp	Purse Web Spider						Light	Precision				322	
Dravanian Bass	Blueclaw Shrimp	0	6		Clouds, Dust Storms, Fog		Medium	Powerful				361	
Twin-tongued Carp	Brute Leech	12	16	Clouds, Dust Storms	Clear Skies		Heavy	Powerful				480	
The Smoldering Wastes												70103	
Whilom Catfish	Goblin Jig				Clouds, Dust Storms, Fog		Medium	Powerful				321	
Rock Mussel	Stonefly Nymph						Light	Precision		1		333	
Blueclaw Shrimp	Stonefly Nymph						Light	Precision				322	
Three-lip Carp	Bladed Steel Jig						Medium	Powerful				329	
Warmwater Bichir	Brute Leech	21	3				Medium	Powerful				367	
Marble Oscar	Metal Spinner						Medium	Powerful				350	
The Dreamweaver	Brute Leech	22	2		Clouds, Dust Storms, Fog		Heavy	Powerful				466	
The Iron Feast												70104	
Pipira Pira	Goblin Jig				Clouds, Dust Storms, Fog		Medium	Powerful				341	
Blueclaw Shrimp	Stonefly Nymph						Light	Precision				322	
Dragonhead	Goblin Jig						Light	Precision				364	
Caiman	Blueclaw Shrimp	18	21				Heavy	Powerful				402	
Thunderbolt Eel	Blueclaw Shrimp	22	4				Medium	Powerful				428	
Amber Salamander	Brute Leech	6	12				Heavy	Powerful				451	
Thunderscale	Blueclaw Shrimp	6	8	Clouds, Dust Storms, Fog	Thunder		Heavy	Powerful				494	
Mourn												70105	
Lava Crab	Metal Spinner						Medium	Powerful				345	
Granite Crab	Magma Worm						Light	Precision				354	
Cindersmith	Magma Worm						Light	Precision		1		372	
Cometoise	Granite Crab						Medium	Powerful				387	
Oven Catfish	Granite Crab						Medium	Powerful				420	
Meteortoise	Granite Crab						Heavy	Powerful				467	
West Mourn												70106	
Granite Crab	Magma Worm						Light	Precision				354	
Aithon's Colt	Magma Worm						Light	Precision				355	
Magma Tree	Magma Worm						Light	Precision		1		359	
Cindersmith	Magma Worm						Light	Precision		1		372	
Black Magefish	Granite Crab						Medium	Powerful				426	
Hraesvelgr's Tear	Magma Worm	2	6				Heavy	Precision				484	
Anyx Old												70107	
Lava Crab	Magma Worm						Medium	Powerful				345	
Granite Crab	Magma Worm						Light	Precision				354	
Cindersmith	Magma Worm						Light	Precision		1		372	
Aithon's Colt	Magma Worm						Light	Precision				355	
Cometoise	Granite Crab						Medium	Powerful				387	
Magma Louse	Granite Crab	18	5				Medium	Powerful				386	
Hoplite	Metal Spinner						Medium	Powerful				3311	
Riddle	Granite Crab	8	16	Clear Skies	Clear Skies		Heavy	Powerful				495	
Halo												70108	
Granite Crab	Metal Spinner						Light	Precision				354	
Magma Tree	Magma Worm						Light	Precision		1		359	
Cometoise	Granite Crab						Medium	Powerful				387	
Fossiltongue	Magma Worm						Medium	Powerful				400	
Lavalord	Granite Crab	9	16		Clear Skies, Fair Skies		Heavy	Powerful				432	
Lava Snail	Magma Worm				Clear Skies, Fair Skies		Light	Precision		1		455	
The Lord of Lords	Granite Crab	8	16	Clouds, Dust Storms, Fog	Clear Skies, Fair Skies		Heavy	Powerful				496	
Problematicus	Granite Crab	10	15		Clear Skies, Fair Skies	Fossiltongue, 3, Granite Crab, 5	Heavy	Powerful				500	
Thaliak River												70201	
Hedgemole Cricket	Stonefly Nymph						Light	Precision				357	
Sweetfish	Bladed Steel Jig						Medium	Powerful				380	
Philosopher's Stone	Bladed Steel Jig						Light	Precision				390	
Shipworm	Goblin Jig						Light	Precision				356	
Autumn Leaf	Purse Web Spider						Light	Precision				383	
Illuminati Perch	Hedgemole Cricket						Medium	Powerful				404	
Hinterlands Perch	Metal Spinner						Heavy	Powerful				419	
Thinker's Coral	Signature Skyball						Light	Precision				3299	
The Ewer King	Sweetfish						Heavy	Powerful				468	
Quickspill Delta												70202	
Blueclaw Shrimp	Stonefly Nymph						Light	Precision				322	
Bullfrog	Bladed Steel Jig						Light	Precision				330	
Hedgemole Cricket	Purse Web Spider						Light	Precision				357	
Yalm Lobster	Bladed Steel Jig						Medium	Powerful				418	
Orn Butterfly	Brute Leech						Medium	Powerful				381	
Tigerfish	Bullfrog						Medium	Powerful				352	
Gnomefish	Purse Web Spider						Light	Precision				452	
Dravanian Scallop	Metal Spinner						Light	Precision					
Madam Butterfly	Hedgemole Cricket	21	2		Clear Skies		Heavy	Powerful				481	
Upper Thaliak River												70203	
Hedgemole Cricket	Purse Web Spider						Light	Precision				357	
Scholar Sculpin	Goblin Jig						Medium	Powerful				347	
Sweetfish	Bladed Steel Jig						Medium	Powerful				380	
Shipworm	Goblin Jig						Light	Precision				356	
Yalm Lobster	Bladed Steel Jig						Medium	Powerful				418	
Loosetongue	Brute Leech	13	20				Heavy	Powerful				430	
Armored Catfish	Brute Leech				Clouds, Fog		Medium	Powerful				460	
Thavnairian Leaf	Metal Spinner						Medium	Powerful				506	
The Speaker	Hedgemole Cricket			Clouds, Fog	Showers		Heavy	Powerful				497	
Armor Fish	Hedgemole Cricket	1	4		Clear Skies	Hedgemole Cricket, 6	Heavy	Precision				502	
Middle Thaliak River												70204	
Philosopher's Stone	Goblin Jig						Light	Precision				390	
Scholar Sculpin	Purse Web Spider						Medium	Powerful				347	
Sweetfish	Goblin Jig						Medium	Powerful				380	
Hedgemole Cricket	Stonefly Nymph						Light	Precision				357	
Bullfrog	Bladed Steel Jig						Light	Precision				330	
Thaliak Caiman	Bullfrog	15	18				Heavy	Powerful				431	
Berserker Betta	Brute Leech				Clear Skies, Fair Skies		Medium	Powerful				436	
Goblin Bass	Brute Leech	0	5		Clouds, Fog		Medium	Powerful				443	
Inkshell	Metal Spinner						Light	Precision				3315	
Bobgoblin Bass	Sweetfish	2	6	Rain	Showers		Heavy	Powerful				487	
Eil Tohm												70301	
Cloudfish	Stonefly Nymph						Light	Precision				331	
Lamp Marimo	Stonefly Nymph						Light	Precision				74	
Kissing Fish	Brute Leech	9	2				Light	Precision				343	
Noontide Oscar	Brute Leech						Medium	Powerful				368	
Vidofnir	Brute Leech	8	10				Heavy	Powerful				469	
Greensward												70302	
Mogpom	Versatile Lure						Light	Precision				358	
Moggle Mogpom	Brute Leech	10	13	Gales	Clear Skies		Heavy	Precision				482	
Weston Waters												70303	
Cloudfish	Stonefly Nymph						Light	Precision				331	
Dravanian Squeaker	Stonefly Nymph	16	19				Light	Precision				342	
Weston Bowfin	Goblin Jig	8	12				Medium	Powerful				392	
Hundred Fin	Goblin Jig						Medium	Powerful				382	
Lovers' Clam	Metal Spinner						Light	Precision				509	
Illuminati Mask	Metal Spinner						Medium	Powerful					
Thousand Fin	Brute Leech			Clouds	Gales		Heavy	Powerful				498	
Landlord Colony												70304	
Sky Faerie	Metal Spinner						Light	Precision				353	
Gloaming Coral	Red Balloon						Light	Precision		1		395	
Cloud Rider	Red Balloon						Medium	Powerful				360	
Blue Medusa	Sky Faerie						Light	Precision				371	
Letter Puffer	Giant Crane Fly						Medium	Powerful				393	
Dragon's Soul	Versatile Lure						Light	Precision				397	
Sunsail	Giant Crane Fly	15	17		Clear Skies, Fair Skies		Medium	Powerful				442	
The Soul of the Martyr	Giant Crane Fly	4	6		Clear Skies, Fair Skies		Heavy	Precision				470	
Sohm Al Summit												70305	
Sky Faerie	Red Balloon						Light	Precision				353	
Gloaming Coral	Red Balloon						Light	Precision		1		395	
Cloud Rider	Red Balloon						Medium	Powerful				360	
Rudderfish	Giant Crane Fly						Medium	Powerful				405	
Gobbie Mask	Giant Crane Fly						Light	Precision				370	
Star Faerie	Rudderfish						Light	Precision				394	
Pteranodon	Giant Crane Fly	9	17				Heavy	Powerful				421	
Dimorphodon	Rudderfish			Clear Skies	Gales		Heavy	Powerful				475	
Tharl Oom Khash												70306	
Sky Faerie	Metal Spinner						Light	Precision				353	
Cloud Rider	Red Balloon						Medium	Powerful				360	
Rudderfish	Giant Crane Fly						Medium	Powerful				405	
Manasail	Sky Faerie	10	14		Clear Skies, Fair Skies		Medium	Powerful				384	
Brown Bolo	Red Balloon				Clouds		Medium	Powerful				389	
Cobrafish	Rudderfish						Medium	Powerful				413	
Storm Chaser	Giant Crane Fly						Heavy	Powerful				435	
Nyctosaur	Giant Crane Fly						Heavy	Powerful				454	
Bloodchaser	Giant Crane Fly			Clear Skies	Gales		Heavy	Powerful				499	
Raimdellopterus	Rudderfish	5	8		Gales	Rudderfish, 5	Heavy	Powerful				505	
Diadem Grotto												80102	
Thunderbolt Eel	Brute Leech	22	4					Powerful				428	
Noontide Oscar	Brute Leech											368	
Goldsmith Crab	Bladed Steel Jig											450	
Crown Trout	Stonefly Nymph											447	
Retribution Staff	Purse Web Spider											448	
Southern Diadem Lake												80103	
Maiboi	Stonefly Nymph						Light	Precision				328	
Bullfrog	Bladed Steel Jig						Light	Precision				330	
Cloudfish	Purse Web Spider						Light	Precision				331	
Yalm Lobster	Bladed Steel Jig											418	
Goldsmith Crab	Bladed Steel Jig											450	
Crown Trout	Stonefly Nymph											447	
Retribution Staff	Purse Web Spider											448	
Northern Diadem Lake												80105	
Cloudfish	Stonefly Nymph						Light	Precision				331	
Crown Trout	Stonefly Nymph											447	
Retribution Staff	Purse Web Spider											448	
Calm Cloudtop												80107	
Mahu Wai	Giant Crane Fly											332	
Whiteloom	Red Balloon							Precision				335	
Blue Cloud Coral	Red Balloon									1		336	
Mitre Slug	Red Balloon											344	
Eurhinosaur	Giant Crane Fly											445	
Gem Marimo	Giant Crane Fly											446	
Pterodactyl	Giant Crane Fly											444	
Swirling Cloudtop												80108	
Vampiric Tapestry	Giant Crane Fly											434	
Moogle Spirit	Giant Crane Fly											414	
Eurhinosaur	Giant Crane Fly											445	
Pterodactyl	Giant Crane Fly											444	
Blustery Cloudtop												80106	
Buoyant Oviform	Giant Crane Fly											334	
Mahu Wai	Giant Crane Fly											332	
Mitre Slug	Red Balloon											344	
Blue Cloud Coral	Red Balloon									1		336	
Pterodactyl	Giant Crane Fly											444	
Upper Mirage Creek												90101	
Abalathian Bitterling	Nightcrawler						Light	Precision				514	
Broken Crab	Salmon Roe						Light	Precision				517	
Gyr Abanian Trout	Midge Larva						Medium	Powerful				531	
Miounnefish	Gyr Abanian Trout				Clouds, Fog		Medium	Powerful				518	
Bloodsipper	Gyr Abanian Trout						Light	Precision				532	
Hookstealer	Gyr Abanian Trout						Heavy	Precision				760	
Rhalgr's Reach												90102	
Golden Cichlid	Versatile Lure						Light	Precision				513	
Temple Carp	Salmon Roe						Light	Precision				519	
Gyr Abanian Trout	Midge Larva						Medium	Powerful				531	
Monk Betta	Gyr Abanian Trout						Light	Precision				533	
Electric Catfish	Nightcrawler						Medium	Powerful				548	
Pagan Pirarucu	Gyr Abanian Trout						Medium	Powerful				566	
Watcher Catfish	Gyr Abanian Trout				Thunder		Heavy	Powerful				808	
The Outer Fist												90103	
Comet Minnow	Nightcrawler						Medium	Powerful				512	
Balloon Frog	Salmon Roe						Light	Precision				520	
Lantern Marimo	Suspending Minnow						Light	Precision				521	
Bloodsipper	Salmon Roe						Light	Precision				532	
Gilfish	Nightcrawler						Light	Precision				534	
Redtail	Balloon Frog				Clouds, Fog		Heavy	Powerful				750	
Bloodtail Zombie	Balloon Frog	8	12		Clouds		Heavy	Powerful				809	
Timmon Beck												90201	
Steelhead Trout	Suspending Minnow						Medium	Powerful				516	
Balloon Frog	Nightcrawler						Light	Precision				520	
Miounnefish	Balloon Frog				Clouds, Fog		Medium	Powerful				518	
Death Loach	Salmon Roe						Light	Precision				549	
Gyr Abanian Chub	Metal Spinner						Light	Precision				742	
Hardhead Trout	Stonefly Larva	16	20				Heavy	Powerful				810	
Xenacanthus	Hardhead Trout	16	20				Heavy	Powerful				840	
Dimwold												90202	
Miounnefish	Stonefly Larva				Clouds, Fog		Medium	Powerful				518	
Bone Melter	Salmon Roe						Light	Precision				524	
Fallen Leaf	Suspending Minnow						Light	Precision				525	
Padjali Loach	Stonefly Larva						Medium	Powerful				530	
Cave Killifish	Suspending Minnow						Light	Precision				553	
Wraithfish	Stonefly Larva	0	4		Fog		Medium	Powerful				635	
Chakrafish	Metal Spinner						Medium	Powerful				837	
Sapphire Fan	Stonefly Larva				Thunder		Heavy	Precision				761	
The Comet's Tail												90203	
Bone Melter	Salmon Roe						Light	Precision				524	
Falling Star	Metal Spinner				Clouds, Fog		Light	Precision				535	
Capsized Squeaker	Salmon Roe	16	19				Light	Precision				536	
Nirvana Crab	Suspending Minnow				Clouds, Fog		Medium	Powerful				537	
Cardinalfish	Suspending Minnow	19	23		Clouds, Fog		Medium	Powerful				735	
Lake Sphairai	Metal Spinner						Medium	Powerful				775	
The Archbishop	Suspending Minnow	12	16				Heavy	Powerful				762	
The Velodyna River												90204	
Velodyna Grass Carp	Suspending Minnow						Medium	Powerful				526	
Greenstream Loach	Nightcrawler						Medium	Powerful				528	
Bloodsipper	Salmon Roe						Light	Precision				532	
Black Velodyna Carp	Suspending Minnow						Medium	Powerful				568	
Velodyna Salmon	Metal Spinner						Medium	Powerful				745	
Downstream Loach	Stonefly Larva				Fog		Heavy	Powerful				811	
Deep Velodyna Carp	Salmon Roe						Light	Precision					
Mirage Creek												90205	
Highland Perch	Salmon Roe						Medium	Powerful				527	
Mirage Chub	Salmon Roe						Light	Precision				529	
Gravel Gudgeon	Salmon Roe						Light	Precision				538	
Rhalgr's Bolt	Salmon Roe						Medium	Powerful				554	
Mirage Mahi	Stonefly Larva	4	8				Heavy	Powerful				747	
Scarlet Frog	Metal Spinner						Light	Precision					
Corpse Chub	Suspending Minnow	20	24		Clear Skies		Heavy	Powerful				812	
Grymm & Enid												90301	
Death Loach	Salmon Roe						Light	Precision				549	
Grymm Crab	Metal Spinner						Light	Precision				550	
Enid Shrimp	Nightcrawler						Light	Precision				567	
Curefish	Metal Spinner						Medium	Powerful				774	
Bondsplitter	Suspending Minnow				Dust Storms		Heavy	Powerful				763	
Drepanaspis	Suspending Minnow				Dust Storms	Bondsplitter, 2	Heavy	Powerful				841	
The Slow Wash												90302	
Idle Goby	Metal Spinner						Medium	Powerful				515	
Rapids Jumper	Nightcrawler						Medium	Powerful				522	
Gyr Abanian Trout	Midge Larva						Medium	Powerful				531	
Heather Charr	Suspending Minnow						Medium	Powerful				547	
Death Loach	Metal Spinner						Light	Precision				549	
Invisible Crayfish	Metal Spinner						Light	Precision				551	
The Undecided	Gyr Abanian Trout	8	12				Heavy	Powerful				764	
Heather Falls												90303	
Adamantite Bichir	Suspending Minnow						Medium	Powerful				523	
Death Loach	Salmon Roe						Light	Precision				549	
Abalathian Salamander	Nightcrawler						Light	Precision				552	
Steelshark	Stonefly Larva				Clear Skies		Light	Precision				627	
Purple Buckler	Midge Larva						Medium	Powerful				746	
The Last Tear	Salmon Roe			Fog	Fair Skies		Heavy	Powerful				813	
The Ephor												90304	
Heather Charr	Salmon Roe						Medium	Powerful				547	
Meditator	Stonefly Larva				Clouds, Wind, Fog, Dust Storms		Medium	Powerful				612	
Stonytongue	Versatile Lure						Medium	Powerful				613	
Deemster	Stonefly Larva				Wind		Heavy	Powerful				631	
Moksha	Suspending Minnow			Clouds, Wind, Fog, Dust Storms	Clear Skies		Heavy	Powerful				815	
The Bull's Bath												90305	
Death Loach	Metal Spinner						Light	Precision				549	
Invisible Crayfish	Nightcrawler						Light	Precision				551	
Bull's Bite	Midge Larva				Clouds, Dust Storms, Fog, Wind		Medium	Powerful				600	
Peeping Pisces	Midge Larva						Medium	Powerful				601	
Meditator	Stonefly Larva				Clouds, Dust Storms, Fog, Wind		Medium	Powerful				612	
Alligator Snapping Turtle	Suspending Minnow				Clear Skies, Fair Skies		Medium	Powerful				749	
Hemon	Suspending Minnow	16	20		Clouds		Heavy	Powerful				814	
The Arms of Meed												90306	
Gyr Abanian Trout	Midge Larva						Medium	Powerful				531	
Gigant Bass	Gyr Abanian Trout						Medium	Powerful				602	
Eastern Pike	Suspending Minnow				Clear Skies, Fair Skies		Heavy	Powerful				607	
Scimitarfish	Gyr Abanian Trout						Medium	Powerful				614	
Ala Mhigan Ribbon	Stonefly Larva						Light	Precision				619	
Rockfish	Suspending Minnow	12	16		Clouds, Dust Storms, Fog, Wind		Light	Precision				736	
Lily of the Veil	Suspending Minnow			Clear Skies	Fair Skies		Heavy	Precision				822	
Loch Seld												90401	
Rock Saltfish	Silkworm						Medium	Powerful				608	
Saltshield Snapper	Silkworm						Heavy	Powerful				611	
Whitehorse	Silkworm						Light	Precision				624	
Pearl-eye	Rock Saltfish						Heavy	Powerful				626	
Sculptor	Rock Saltfish	12	18		Thunderstorms		Heavy	Powerful				625	
Saltmill	Rock Saltfish				Clouds, Fog		Heavy	Powerful				752	
Diamond-eye	Rock Saltfish				Clear Skies		Heavy	Powerful				765	
Stethacanthus	Rock Saltfish	16	18			Sculptor, 2	Heavy	Powerful				842	
Loch Seld Northwestern Lakebed												90451	
Moondisc	Small Gig Head											688	
Bleached Bonytongue	Large Gig Head											689	
Typhoon Shrimp	Normal Gig Head											699	
Salt Cellar	Small Gig Head											708	
Abalathian Pipira	Normal Gig Head											717	
Flood Tuna	Large Gig Head											729	
Loch Seld Central Lakebed												90452	
Salt Shark	Normal Gig Head											690	
Bleached Bonytongue	Large Gig Head											689	
Rock Oyster	Small Gig Head											700	
White Sturgeon	Large Gig Head											709	
Steel Loach	Small Gig Head											718	
Mercenary Crab	Normal Gig Head											730	
Loch Seld Southeastern Lakebed												90453	
King's Mantle	Large Gig Head											691	
Salt Urchin	Small Gig Head											701	
Carpenter Crab	Normal Gig Head											702	
Tithe Collector	Large Gig Head											710	
Ivory Sole	Normal Gig Head											719	
Ashfish	Small Gig Head											731	
Loch Seld Deep Lakebed												90491	
Salt Cellar	Small Gig Head											708	
Steel Loach	Small Gig Head											718	
Abalathian Pipira	Normal Gig Head											717	
Ivory Sole	Normal Gig Head											719	
Silken Sunfish	Large Gig Head					Mercenary Crab, 7						732	
Mosasaur	Large Gig Head					Mercenary Crab, 7						733	
The Ruby Price												100101	
Grinning Anchovy	Live Shrimp						Light	Precision				539	
Glass Herring	Bream Lure						Medium	Powerful				540	
Coeurl Snake Eel	Bream Lure						Medium	Powerful				546	
